;  
; XRS FM-1 Calibration File = xrs_fm1_responsivity_renormalize.dat
; Generated by xrs_responsivity_make_file.pro using a FLAT spectrum.
;  
; Integrated Resposivity (IntegR) is used to convert XRS signal 
;    in Amps to Watts/m^2 as follows: 
;            Irradiance_W_per_m2 = Signal_Amps / IntegR_Amps_m2_per_W
;    XRS A1 IntegR = 9.6150000e-06
;    XRS A2 IntegR = 5.0636203e-07
;    XRS B1 IntegR = 1.4690000e-05
;    XRS B2 IntegR = 7.7616903e-07
;  
; Aperture Area for the XRS channels are:
;    XRS A1 Area = 0.80946551 cm^2
;    XRS A2 Area = 0.040307721 cm^2
;    XRS B1 Area = 0.80946551 cm^2
;    XRS B2 Area = 0.040024905 cm^2
;  
; Data in this file are Responsivity (in Amp/Watt) 
;    as a function of wavelength (in Angstroms).
;  
FORMAT = (F7.3,4E12.3)
 172 lines : xrs_fm1_responsivity_renormalize.dat created on Thu Feb 20 10:02:03 2020
 5 columns : XRS FM-1 calibration: Wavelength (Ang), A1, A2, B1, B2 Responsivity in units of Amps/Watt
  4.687   1.372E-02   1.401E-02   2.007E-01   2.144E-01
  4.814   1.059E-02   1.078E-02   1.954E-01   2.087E-01
  4.944   7.992E-03   8.102E-03   1.898E-01   2.027E-01
  5.078   5.888E-03   5.943E-03   1.838E-01   1.964E-01
  5.215   4.224E-03   4.244E-03   1.776E-01   1.898E-01
  5.356   2.945E-03   2.944E-03   1.711E-01   1.829E-01
  5.501   1.991E-03   1.978E-03   1.643E-01   1.756E-01
  5.650   1.300E-03   1.284E-03   1.572E-01   1.680E-01
  5.803   8.187E-04   8.034E-04   1.498E-01   1.602E-01
  5.960   4.954E-04   4.826E-04   1.422E-01   1.521E-01
  6.121   2.870E-04   2.774E-04   1.344E-01   1.438E-01
  6.287   1.596E-04   1.530E-04   1.265E-01   1.353E-01
  6.457   8.500E-05   8.074E-05   1.185E-01   1.268E-01
  6.631   4.293E-05   4.038E-05   1.104E-01   1.181E-01
  6.811   2.012E-05   1.872E-05   1.005E-01   1.076E-01
  6.995   9.056E-06   8.332E-06   9.301E-02   9.963E-02
  7.184   3.803E-06   3.455E-06   8.534E-02   9.144E-02
  7.378   1.482E-06   1.329E-06   7.763E-02   8.321E-02
  7.578   5.326E-07   4.705E-07   6.997E-02   7.503E-02
  7.783   1.755E-07   1.526E-07   6.247E-02   6.702E-02
  7.993   5.257E-08   4.493E-08   5.520E-02   5.925E-02
  8.209   1.423E-08   1.193E-08   4.826E-02   5.182E-02
  8.432   3.527E-09   2.899E-09   4.179E-02   4.490E-02
  8.660   7.860E-10   6.324E-10   3.579E-02   3.848E-02
  8.894   1.547E-10   1.216E-10   3.026E-02   3.255E-02
  9.134   2.660E-11   2.039E-11   2.522E-02   2.715E-02
  9.382   3.950E-12   2.946E-12   2.071E-02   2.231E-02
  9.635   5.017E-13   3.633E-13   1.673E-02   1.804E-02
  9.896   5.370E-14   3.766E-14   1.328E-02   1.433E-02
